cart_dwell_time_seconds,cart_pdp_bounce_count,reviews_expanded_count,idle_time_before_checkout,delivery_pincode_checked,cart_value_to_aov_ratio,delivery_fee_percentage,est_delivery_days,has_price_dropped_recently,hist_abandonment_rate,discount_sensitivity_score,past_return_rate,wishlist_item_count,payment_method_saved,is_abandoned
382.94,4,2,72.91,2,1.3677,4.4143,2,0,0.1379,0.388,0.0925,0,1,1
313.76,2,3,92.19,1,1.9463,0.0,2,0,0.538,0.6997,0.0492,1,1,1
312.44,2,1,76.98,0,0.6285,0.0,3,0,0.4047,0.3254,0.0656,4,1,0
305.48,5,4,168.49,1,3.4404,9.1285,5,1,0.6426,0.7804,0.1321,2,0,1
324.08,8,3,17.0,1,1.285,0.0,6,1,0.6544,0.6066,0.0434,1,1,1
466.07,3,6,64.1,3,1.2472,0.0,5,1,0.6583,0.5089,0.0876,1,0,1
508.11,3,3,34.76,1,2.4394,0.0,6,0,0.4911,0.7438,0.1707,2,1,1
143.13,1,0,101.99,1,1.3129,12.3836,7,0,0.3398,0.8791,0.1278,0,1,0
183.75,5,5,113.66,1,1.8746,8.7945,8,0,0.4687,0.4289,0.1982,3,0,1
378.53,6,4,57.76,0,1.2811,0.0,6,0,0.5846,0.661,0.1117,1,1,1
174.19,3,3,34.92,0,0.6448,4.004,3,0,0.8061,0.3409,0.1314,1,0,0
284.34,3,0,67.26,2,0.5118,9.2554,2,0,0.8008,0.1022,0.1342,1,0,1
173.25,5,3,62.76,2,1.6046,0.0,2,0,0.6778,0.5164,0.0347,1,1,1
259.52,4,2,21.07,1,0.4551,11.2442,2,0,0.3976,0.2957,0.104,1,0,1
578.94,4,3,133.53,0,1.3525,0.0,3,1,0.3575,0.2553,0.1698,2,1,1
141.24,4,2,83.68,2,1.0378,0.0,2,0,0.3434,0.759,0.0995,1,0,1
329.96,1,0,180.11,1,1.8855,0.0,6,0,0.7684,0.5484,0.0727,0,0,1
330.61,2,1,51.72,1,1.5185,4.3515,4,0,0.675,0.4301,0.1511,3,0,1
310.04,3,2,77.46,0,0.9059,0.0,4,0,0.587,0.5833,0.1731,2,1,1
235.17,1,0,52.89,2,1.1782,0.0,5,0,0.5508,0.5944,0.0513,1,0,1
400.63,4,2,106.15,1,1.1853,0.0,6,0,0.5512,0.4425,0.0714,1,0,1
447.39,2,2,183.08,0,1.0655,0.0,5,0,0.3521,0.2996,0.1519,0,0,1
448.83,5,0,142.92,1,3.2269,0.0,6,0,0.7411,0.5623,0.1914,2,1,1
247.67,1,0,81.49,1,1.9741,10.8615,3,0,0.607,0.2731,0.01,0,1,1
310.71,7,4,151.63,0,2.3672,0.0,3,1,0.5639,0.1461,0.0345,1,1,1
443.85,3,2,120.23,1,1.5722,3.9816,5,0,0.628,0.3588,0.0839,2,1,1
90.36,0,3,9.73,1,1.0886,0.0,3,1,0.3586,0.702,0.1805,1,1,1
294.13,3,4,199.04,1,0.8494,0.0,1,0,0.5641,0.3055,0.382,2,0,1
